"","driverId","lap_number","lap_time","pitstop","pitstop_lagged"
"797",16,6,94595,FALSE,0
"798",16,7,94102,FALSE,0
"799",16,8,95041,FALSE,0
"800",16,9,96521,FALSE,0
"801",17,1,114113,FALSE,0
"802",17,2,99875,FALSE,0
"803",17,3,98455,FALSE,0
"804",17,4,97289,FALSE,0
"805",17,5,97235,FALSE,0
"806",17,6,97586,FALSE,0
"807",17,7,97180,FALSE,0
"808",17,8,97731,FALSE,0
"809",17,9,97258,FALSE,0
"810",17,10,97210,FALSE,0
"811",17,11,96703,FALSE,0
"812",17,12,96679,FALSE,0
"813",17,13,97012,FALSE,0
"814",17,14,97704,FALSE,0
"815",17,15,97240,FALSE,0
"816",17,16,118768,TRUE,0
"817",17,17,104596,FALSE,1
"818",17,18,96982,FALSE,0
"819",17,19,95819,FALSE,0
"820",17,20,95857,FALSE,0
"821",17,21,99725,FALSE,0
"822",17,22,95033,FALSE,0
"823",17,23,95913,FALSE,0
"824",17,24,97097,FALSE,0
"825",17,25,95123,FALSE,0
"826",17,26,94436,FALSE,0
"827",17,27,94105,FALSE,0
"828",17,28,96984,FALSE,0
"829",17,29,98905,FALSE,0
"830",17,30,94640,FALSE,0
"831",17,31,94648,FALSE,0
"832",17,32,94524,FALSE,0
"833",17,33,94269,FALSE,0
"834",17,34,94249,FALSE,0
"835",17,35,97569,FALSE,0
"836",17,36,97048,FALSE,0
"837",17,37,118787,TRUE,0
"838",17,38,107889,FALSE,1
"839",17,39,97753,FALSE,0
"840",17,40,94799,FALSE,0
"841",17,41,93698,FALSE,0
"842",17,42,97707,FALSE,0
"843",17,43,93993,FALSE,0
"844",17,44,93123,FALSE,0
"845",17,45,96310,FALSE,0
"846",17,46,93277,FALSE,0
"847",17,47,93232,FALSE,0
"848",17,48,94452,FALSE,0
"849",17,49,96712,FALSE,0
"850",17,50,93029,FALSE,0
"851",17,51,92816,FALSE,0
"852",17,52,92550,FALSE,0
"853",17,53,93228,FALSE,0
"854",17,54,96502,FALSE,0
